,angle,distance,servo
117,6.038293796509132,388.0,80.0
118,6.066928104549664,389.5,80.0
119,6.088199304808345,390.5,80.0
120,6.1094705050670255,392.5,80.0
121,6.132650659195075,395.25,80.0
122,6.156103521018749,398.5,80.0
0,0,0,0
0,6.179283675146799,403.0,75.0
1,6.199736752318607,408.5,75.0
2,6.22046253718604,415.5,75.0
3,0.022907446432425576,472.5,75.0
4,0.04745113903859583,473.0,75.0
5,0.07090400086226964,473.25,75.0
6,0.09708393964218458,473.75,75.0
7,0.1208095091614825,474.25,75.0
8,0.1423534171157875,475.5,75.0
9,0.19634954084936207,652.75,75.0
10,0.21843886419491532,657.0,75.0
11,0.23889194136672387,664.25,75.0
12,0.26234480319039766,670.0,75.0
13,0.33297609635704317,671.0,75.0
14,0.35779249665883756,672.5,75.0
15,0.40197114334994405,696.5,75.0
16,0.4243331743911214,694.25,75.0
17,0.5492332989869656,543.25,75.0
18,0.5732315762018876,549.0,75.0
19,0.5942300687649444,556.5,75.0
20,0.6493170232810154,920.75,75.0
21,0.6716790543221928,936.25,75.0
22,0.693768377667746,952.0,75.0
23,0.7183120702739163,970.25,75.0
24,0.7406741013150936,989.25,75.0
25,0.7622180092693986,1001.0,75.0
26,0.7848527480062001,1015.5,75.0
27,0.8309403485666753,1086.0,75.0
28,0.8535750873034768,1113.25,75.0
29,0.8764825337359023,1142.25,75.0
30,0.8993899801683279,1173.0,75.0
31,0.9206611804270088,1207.25,75.0
32,0.944932165337555,1239.25,75.0
33,0.9891108120286615,1320.5,75.0
34,1.0346529971978884,1420.75,75.0
35,1.1941869991379952,1825.25,75.0
36,1.2170944455704207,1806.25,75.0
37,1.2402745996984705,1789.75,75.0
38,1.2637274615221443,1768.0,75.0
39,1.2874530310414423,1753.0,75.0
40,1.310633185169492,1743.75,75.0
41,1.3346314623844138,1733.25,75.0
42,1.3578116165124636,1718.0,75.0
43,1.380719062944889,1706.25,75.0
44,1.4038992170729387,1699.0,75.0
45,1.428170201983485,1689.0,75.0
46,1.4491686945465418,1682.75,75.0
47,1.4726215563702156,1676.0,75.0
48,1.4968925412807617,1667.75,75.0
49,1.5197999877131874,1665.0,75.0
50,1.542980141841237,1664.5,75.0
51,1.5656148805780383,1663.5,75.0
52,1.5898858654885846,1658.25,75.0
53,1.6117024811385137,1656.25,75.0
54,1.6357007583534358,1656.5,75.0
55,1.6588809124814854,1653.5,75.0
56,1.682061066609535,1658.0,75.0
57,1.7049685130419607,1665.5,75.0
58,1.7284213748656345,1668.0,75.0
59,1.7518742366893083,1672.0,75.0
60,1.7742362677304857,1677.25,75.0
61,1.7974164218585353,1687.25,75.0
62,1.8208692836822091,1697.0,75.0
63,1.844322145505883,1702.25,75.0
64,1.8666841765470603,1712.0,75.0
65,1.88986433067511,1724.25,75.0
66,1.9127717771075354,1734.0,75.0
67,1.9359519312355853,1745.75,75.0
68,1.9588593776680108,1759.25,75.0
69,1.9820395317960604,1775.0,75.0
70,2.004401562837238,1793.75,75.0
71,2.0275817169652877,1812.75,75.0
72,2.0513072864845854,1831.75,75.0
73,2.074214732917011,1846.75,75.0
74,2.0973948870450605,1869.0,75.0
75,2.120029625781862,1893.0,75.0
76,2.143209779909912,1911.5,75.0
77,2.1658445186467135,1942.0,75.0
78,2.258565135158912,2060.0,75.0
79,2.2809271662000894,2102.75,75.0
80,2.3030164895456426,2142.5,75.0
81,2.3267420590649404,2183.25,75.0
82,2.3491040901061178,2226.25,75.0
83,2.3720115365385435,2273.5,75.0
84,2.3951916906665933,2333.0,75.0
85,2.4180991370990186,2394.5,75.0
86,2.4873668917875436,2429.0,75.0
87,2.532909076956771,2592.5,75.0
88,2.5555438156935724,2653.5,75.0
89,2.5784512621259976,2715.5,75.0
90,2.6019041239496716,2790.5,75.0
91,2.669808340160076,3305.5,75.0
92,2.6929884942881257,3294.5,75.0
93,2.7172594791986717,3259.25,75.0
