num,angle,distance,servo
24,4.891012521018484,1581.0,87.0
25,5.319436310843968,1308.5,87.0
26,5.699590838543982,528.25,87.0
27,5.7265889004107695,513.25,87.0
28,5.7481328083650745,506.0,87.0
29,5.803219762881146,849.5,87.0
30,5.828308870878565,839.25,87.0
31,5.853397978875983,831.25,87.0
32,5.946391303083805,559.5,87.0
33,5.9692987495162315,550.5,87.0
34,5.997660349861139,545.25,87.0
35,6.018658842424196,544.25,87.0
36,6.1190152744138695,540.25,87.0
0,3.7710020150902483,464.75,96.0
1,3.796091123087667,463.0,96.0
2,3.8189985695200925,463.0,96.0
3,3.8435422621262627,465.25,96.0
4,3.8669951239499363,469.0,96.0
5,3.8956294319904683,473.75,96.0
6,3.916627924553525,480.75,96.0
7,4.008257710283227,615.0,96.0
8,4.0303470336287806,613.0,96.0
9,4.058435926278064,614.0,96.0
10,4.082434203492986,616.25,96.0
11,4.104796234534164,620.5,96.0
12,4.1307034656184545,625.75,96.0
13,4.153883619746504,632.5,96.0
14,4.180336266222043,638.75,96.0
15,4.204061835741341,642.75,96.0
16,4.30278202155727,710.0,96.0
17,4.326234883380945,704.75,96.0
18,4.3526875298564836,696.25,96.0
19,4.375867683984533,695.0,96.0
20,4.450316884889916,2342.75,96.0
21,4.475951408278583,2324.25,96.0
22,4.5007678085803775,2311.5,96.0
23,4.525856916577796,2293.75,96.0
24,4.6600291028248595,1210.5,96.0
25,5.208444278724953,559.75,96.0
26,5.290529295107811,507.25,96.0
27,5.313436741540237,506.75,96.0
28,5.337162311059535,507.25,96.0
29,5.3627968344482015,508.25,96.0
30,5.385704280880627,515.25,96.0
31,5.41106609657367,516.0,96.0
32,5.433428127614847,518.5,96.0
33,5.4623351433510035,520.25,96.0
34,5.485788005174677,521.75,96.0
35,5.532148313430777,547.5,96.0
36,5.559691790688812,550.0,96.0
37,5.582053821729989,541.0,96.0
38,5.607415637423032,534.25,96.0
39,5.713498931020812,497.75,96.0
40,5.9892064112967915,475.75,96.0
41,6.030930688727281,583.75,96.0
42,6.08056348933087,582.75,96.0
43,6.103470935763295,579.75,96.0
0,3.7303685684422554,498.0,105.0
1,3.758184753395915,488.0,105.0
2,3.7832738613933334,483.25,105.0
3,3.8091810924776244,482.25,105.0
4,3.835088323561915,486.5,105.0
5,3.854177862255603,497.0,105.0
6,3.9479893095502985,642.75,105.0
7,3.971442171373972,629.5,105.0
8,3.9962585716757664,620.0,105.0
9,4.025438295107547,611.75,105.0
10,4.04889115693122,606.5,105.0
11,4.074525680319887,604.25,105.0
12,4.099069372926057,600.5,105.0
13,4.1274309732709655,595.75,105.0
14,4.149520296616519,598.25,105.0
15,4.175427527700809,602.0,105.0
16,4.22451491291315,584.0,105.0
17,4.253421928649306,587.75,105.0
18,4.274693128907987,591.75,105.0
19,4.301963898470398,593.75,105.0
20,4.323507806424703,600.75,105.0
21,4.350778575987115,614.75,105.0
22,4.3734133147239165,621.0,105.0
23,4.400956791981952,624.25,105.0
24,4.424955069196874,621.0,105.0
25,4.449226054107419,609.75,105.0
26,4.475951408278583,602.75,105.0
27,4.570308270964526,672.0,105.0
28,4.597851748222562,673.0,105.0
29,4.942826983187066,209.75,105.0
